DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-15 19:49:54.500235 | A: 29.41
DEBUG:root:UNHANDLED EXCEPTION
DEBUG:root:'A'
DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-17 08:47:10.590802 | A: 30.52
DEBUG:root:UNHANDLED EXCEPTION
DEBUG:root:'A'
DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-19 17:20:03.334577 | HEARTBEAT: 1284934803
DEBUG:root:2010-09-19 17:25:03.351957 | HEARTBEAT: 1284935103
DEBUG:root:2010-09-19 17:30:03.307930 | HEARTBEAT: 1284935403
DEBUG:root:2010-09-19 17:35:03.306948 | HEARTBEAT: 1284935703
DEBUG:root:2010-09-19 17:40:03.306948 | HEARTBEAT: 1284936003
DEBUG:root:2010-09-19 17:45:03.352179 | HEARTBEAT: 1284936303
DEBUG:root:2010-09-19 17:50:03.307794 | HEARTBEAT: 1284936603
DEBUG:root:2010-09-19 17:55:03.315105 | HEARTBEAT: 1284936903
DEBUG:root:2010-09-19 18:00:03.307735 | HEARTBEAT: 1284937203
DEBUG:root:2010-09-19 18:05:03.333243 | HEARTBEAT: 1284937503
DEBUG:root:2010-09-19 18:10:03.394873 | HEARTBEAT: 1284937803
DEBUG:root:2010-09-19 18:15:03.397769 | HEARTBEAT: 1284938103
DEBUG:root:2010-09-19 18:20:03.354389 | HEARTBEAT: 1284938403
DEBUG:root:2010-09-19 18:25:03.353323 | HEARTBEAT: 1284938703
DEBUG:root:2010-09-19 18:30:03.305496 | HEARTBEAT: 1284939003
DEBUG:root:2010-09-19 18:35:03.311539 | HEARTBEAT: 1284939303
DEBUG:root:2010-09-19 18:40:03.375765 | HEARTBEAT: 1284939603
DEBUG:root:2010-09-19 18:45:03.301279 | HEARTBEAT: 1284939903
DEBUG:root:2010-09-19 18:50:03.356915 | HEARTBEAT: 1284940203
DEBUG:root:2010-09-19 18:55:03.337634 | HEARTBEAT: 1284940503
DEBUG:root:2010-09-19 19:00:03.334653 | HEARTBEAT: 1284940803
DEBUG:root:2010-09-19 19:05:03.353890 | HEARTBEAT: 1284941103
DEBUG:root:2010-09-19 19:10:03.395223 | HEARTBEAT: 1284941403
DEBUG:root:2010-09-19 19:15:03.379989 | HEARTBEAT: 1284941703
DEBUG:root:2010-09-19 19:20:03.399382 | HEARTBEAT: 1284942003
DEBUG:root:2010-09-19 19:25:03.308596 | HEARTBEAT: 1284942303
DEBUG:root:2010-09-19 19:30:03.392506 | HEARTBEAT: 1284942603
DEBUG:root:2010-09-19 19:35:03.352905 | HEARTBEAT: 1284942903
DEBUG:root:2010-09-19 19:40:03.386438 | HEARTBEAT: 1284943203
DEBUG:root:2010-09-19 19:45:03.369611 | HEARTBEAT: 1284943503
DEBUG:root:2010-09-19 19:50:03.317342 | HEARTBEAT: 1284943803
DEBUG:root:2010-09-19 19:55:03.313629 | HEARTBEAT: 1284944103
DEBUG:root:2010-09-19 20:00:03.306641 | HEARTBEAT: 1284944403
DEBUG:root:2010-09-19 20:05:03.351877 | HEARTBEAT: 1284944703
DEBUG:root:2010-09-19 20:10:03.330431 | HEARTBEAT: 1284945003
DEBUG:root:2010-09-19 20:15:03.343985 | HEARTBEAT: 1284945303
DEBUG:root:2010-09-19 20:20:03.332014 | HEARTBEAT: 1284945603
DEBUG:root:2010-09-19 20:25:03.390419 | HEARTBEAT: 1284945903
DEBUG:root:2010-09-19 20:30:03.302881 | HEARTBEAT: 1284946203
DEBUG:root:2010-09-19 20:35:03.326874 | HEARTBEAT: 1284946503
DEBUG:root:2010-09-19 20:40:03.339471 | HEARTBEAT: 1284946803
DEBUG:root:2010-09-19 20:45:03.387495 | HEARTBEAT: 1284947103
DEBUG:root:2010-09-19 20:50:03.360764 | HEARTBEAT: 1284947403
DEBUG:root:2010-09-19 20:55:03.313454 | HEARTBEAT: 1284947703
DEBUG:root:2010-09-19 21:00:03.392694 | HEARTBEAT: 1284948003
DEBUG:root:2010-09-19 21:05:03.340698 | HEARTBEAT: 1284948303
DEBUG:root:2010-09-19 21:10:03.325223 | HEARTBEAT: 1284948603
DEBUG:root:2010-09-19 21:15:03.343147 | HEARTBEAT: 1284948903
DEBUG:root:2010-09-19 21:20:03.360446 | HEARTBEAT: 1284949203
DEBUG:root:2010-09-19 21:25:03.935619 | HEARTBEAT: 1284949503
DEBUG:root:2010-09-19 21:30:03.340608 | HEARTBEAT: 1284949803
DEBUG:root:2010-09-19 21:35:03.397302 | HEARTBEAT: 1284950103
DEBUG:root:2010-09-19 21:40:03.356282 | HEARTBEAT: 1284950403
DEBUG:root:2010-09-19 21:45:03.356194 | HEARTBEAT: 1284950703
